书目ID,题名,责任者,ISBN,价格（元）,出版社,出版年,分类号,索书号,复本数
63156,宋词三百首,(清) 上疆村民选编,978-7-5063-8658-6,CNY35.00,作家出版社,2016,I222.844,,
63155,沉思录,(古罗马) 马可·奥勒留著,978-7-5063-8482-7,CNY38.00,作家出版社,2016,B502.43,,
63154,诗与思,刘向东著,978-7-5063-8999-0,CNY30.00,作家出版社,2016,I207.22,,
63153,当戏已成往事,李晏著,978-7-5063-8258-8,CNY198.00 (2册),作家出版社,2016,I251,,
63152,中国时代,师永刚， 邹明主编,978-7-5063-8898-6,CNY49.00,作家出版社,2016,I25,,
63151,中国时代,师永刚， 邹明主编,978-7-5063-8986-0,CNY49.00,作家出版社,2016,I25,,
63150,协和医院产科专家,马良坤主编,978-7-122-26027-7,CNY49.80,化学工业出版社,2016,R715.3,,
63149,道德论丛,(古希腊) 普鲁塔克著,978-7-5534-7925-5,CNY480.00 (全四卷),吉林出版集团有限责任公司,2015,B502.232,,
63148,贞丰年鉴,贞丰县史志办公室编,978-7-5143-5653-3,CNY228.00,现代出版社,2016,Z527.34,,
63147,钱杨摭拾,黄恽著,978-7-5060-9407-8,CNY39.00,东方出版社,2017,K825.6=75,,
63146,生如夏花,(印) 泰戈尔著,978-7-5104-6050-0,CNY39.80,新世界出版社,2016,H319.4:I351.25,,
63145,商道,王前师著,978-7-5034-8308-0,CNY35.00,中国文史出版社,2017,F272.3,,
63144,七夜物语,(日) 川上弘美著,978-7-5060-7998-3,CNY49.80,东方出版社,2017,I313.45,,
63143,缺失的幸福课,李红著,978-7-5034-8640-1,CNY38.00,中国文史出版社,2017,B82-49,,
63142,传习录,(明) 王阳明著,978-7-5063-8654-8,CNY39.80,作家出版社,2016,B248.25,,
63141,小豆丁幼儿园成长记,徐知临著,978-7-5063-9173-3,CNY42.00,作家出版社,2017,I267,,
63140,爱的语言,崔晓久著,978-7-5044-9199-2,CNY36.80,中国商业出版社,2016,C913.1,,
63139,品读苏州,嵇元著,978-7-5063-9158-0,CNY246.00 (5册),作家出版社,2016,I267,,
63138,士兵花名册,陈灿著,978-7-5051-4039-4,CNY38.00,红旗出版社,2017,I227,,
63137,东京VS京都,肉拉著,978-7-5474-1843-7,CNY32.80,山东画报出版社,2016,K931.39,,
63136,德兰修女,(英) 格雷戈·瓦茨著,978-7-5474-1859-8,CNY29.80,山东画报出版社,2016,B979.935.1,,
63135,棱镜,许开祯作品,978-7-5063-9223-5,CNY39.80,作家出版社,2017,I247.57,,
63134,邹静之戏剧集,,978-7-5063-8633-3,CNY36.00,作家出版社,2016,I230,,
63133,谔谔国士傅斯年,郭保林著,978-7-5063-8954-9,CNY39.00,作家出版社,2016,K825.46,,
63132,梦溪妙笔,周山湖著,978-7-5063-9180-1,CNY39.00,作家出版社,2016,K826.1,,
63131,花间词祖,李金山著,978-7-5063-9162-7,CNY35.00,作家出版社,2016,K825.6=424,,
63130,梨花飘落的夜晚,(韩) 李喆守著/绘,978-7-5059-9318-1,CNY68.00,中国文联出版社,2014,I267,,
63129,新编中华人民共和国常用法律法规全书,国务院法制办公室编,978-7-5093-7928-8,CNY100.00,中国法制出版社,2017,D920.9,,
63128,图书馆利用与文献检索,张涛著,978-7-5681-2219-1,CNY45.00,东北师范大学出版社,2017,G252.65,,
63127,都市里的农场,玮珏编著,978-7-5104-5692-3,CNY128.00,新世界出版社,2016,S63,,
63126,江湖奇侠传,平江不肖生著,978-7-5034-8350-9,CNY178.00 (3册),中国文史出版社,2017,I246.58,,
63125,华服传奇,尔火著,978-7-5063-9353-9,CNY38.00,作家出版社,2017,I247.57,,
63124,2016年度诗人选,朱零编选,978-7-5063-9285-3,CNY39.00,作家出版社,2017,I227.1,,
63123,冈仁波齐,王自亮著,978-7-5063-8893-1,CNY36.00,作家出版社,2016,I227,,
63122,你可以更幸福,李媛媛， 成展鹏著,978-7-5116-2313-3,CNY30.00,中国农业科学技术出版社,2016,B848.4,,
63121,没有人能伤到你,水淼著,978-7-5116-0984-7,CNY29.80,中国农业科学技术出版社,2013,B848.4,,
63120,永远不要羡慕别人 你自己就是最美的风景,夏沫编著,978-7-5044-9013-1,CNY32.00,中国商业出版社,2015,B821-49,,
63119,刘强东,孙光雨著,978-7-5044-9026-1,CNY48.00,中国商业出版社,2015,K825.38=76,,
63118,敢于迷路， 才能找到出路,今心著,978-7-5044-9035-3,CNY29.00,中国商业出版社,2015,B848.4,,
63117,创业者必修的领导心理学,李伟著,978-7-5044-8336-2,CNY39.80,中国商业出版社,2014,C933,,
63116,再等， 青春就老了,夏沫编著,978-7-5044-9215-9,CNY32.00,中国商业出版社,2016,B848.4-49,,
63115,松开手， 世界就在你手中,武庆新编著,978-7-5044-9029-2,CNY32.00,中国商业出版社,2015,B821-49,,
63114,幸福是一种心态,夏沫著,978-7-5044-8950-0,CNY32.00,中国商业出版社,2015,B82-49,,
63113,哈佛的另一种学问,张一弛编著,978-7-5044-8824-4,CNY32.00,中国商业出版社,2015,B821-49,,
63112,内心强大的力量,林凯编著,978-7-5044-8773-5,CNY32.00,中国商业出版社,2015,B516.47,,
63111,直观的信仰,龚缨晏， 石青芳著,978-7-5474-1867-3,CNY53.80,山东画报出版社,2016,J19,,
63110,侵权赔偿纠纷裁判思路与裁判规则,何君， 田源主编,978-7-5197-0141-3,CNY128.00,法律出版社,2017,D923.75,,
63109,不朽的艺术,肖鹰， 孙晶著,978-7-5060-8963-0,CNY78.00,东方出版社,2016,J0,,
63108,思美人,梁振华著,978-7-5104-6217-7,CNY39.80,新世界出版社,2017,I247.53,,
63107,思美人,梁振华著,978-7-5104-6218-4,CNY36.80,新世界出版社,2017,I247.59,,
63106,思美人,梁振华著,978-7-5104-6216-0,CNY32.80,新世界出版社,2017,I247.53,,
63105,十二金钱镖,白羽著,978-7-5034-8363-9,CNY178.00 (3册),中国文史出版社,2017,I246.58,,
63104,父与子,(德) 埃·奥·卜劳恩著,978-7-5104-5984-9,CNY29.80,新世界出版社,2016,J238.2(516),,
63103,忧乐天下,周宗奇著,978-7-5063-8109-3,CNY39.00,作家出版社,2015,K827=441,,
63102,小学校大教育,主编吴甡,978-7-5034-8649-4,CNY56.00,中国文史出版社,2017,G632.0-53,,
63101,文化的盛宴,梁启超， 王国维等著,978-7-5104-5307-6,CNY38.00,新世界出版社,2015,K203,,
63100,格罗斯曼说， 经济为什么会失败,(美) 理查德·S. 格罗斯曼著,978-7-5104-6034-0,CNY48.00,新世界出版社,2017,F0-49,,
63099,走向北大清华,曾艳蓓编著,978-7-5104-5940-5,CNY29.80,新世界出版社,2016,G632.46,,
63098,思美人,梁振华著,978-7-5104-6215-3,CNY36.80,新世界出版社,2017,I247.53,,
63097,春天的狂想,刘晨茹著,978-7-5104-6033-3,CNY42.00,新世界出版社,2016,F832.51,,
63096,寻找心里的那个少年,黄维德著,978-7-5063-8837-5,CNY46.00,作家出版社,2016,I267,,
63095,风景只在想象中,肖复兴著,978-7-5104-6022-7,CNY29.80,新世界出版社,2017,I267,,
63094,人品才是最高学历,李朝晖编著,978-7-5639-4877-2,CNY33.00,北京工业大学出版社,2016,B821-49,,
63093,自传难写,老舍著,978-7-5034-8729-3,CNY32.80,中国文史出版社,2017,I266.1,,
63092,铁狮王·铁狮镖,郑证因著,978-7-5034-8604-3,CNY48.00,中国文史出版社,2017,I246.58,,
63091,燕尾镖·琅琊岛,郑证因著,978-7-5034-8608-1,CNY52.80,中国文史出版社,2017,I246.58,,
63090,白山双侠·凤城怪客,郑证因著,978-7-5034-8602-9,CNY48.00,中国文史出版社,2017,I246.58,,
63089,子母金梭·岷江侠女,郑证因著,978-7-5034-8610-4,CNY55.00,中国文史出版社,2017,I246.58,,
63088,一个公关人的自我修养,宋睿著,978-7-5104-5997-9,CNY42.00,新世界出版社,2016,C912.31,,
63087,篮史通鉴,(美) 比尔·西蒙斯著,978-7-5104-5926-9,CNY128.00 (全2册),新世界出版社,2016,K815.47,,
63086,忧郁的色彩,肖复兴著,978-7-5104-5902-3,CNY29.80,新世界出版社,2017,I267,,
63085,策略在反面,鲍勇剑著,978-7-5104-6117-0,CNY48.00,新世界出版社,2017,F406.2,,
63084,简洁是最美的生活,肖复兴著,978-7-5104-6026-5,CNY29.80,新世界出版社,2017,I267,,
63083,音乐荡漾在城市的天空,肖复兴著,978-7-5104-6023-4,CNY29.80,新世界出版社,2017,I267,,
63082,便利统治世界,许正一著,978-7-5104-5947-4,CNY36.80,新世界出版社,2016,F733.131.7,,
63081,牧野雄风,白羽著,978-7-5034-8372-1,CNY46.00,中国文史出版社,2017,I246.58,,
63080,武林争雄记,白羽著,978-7-5034-8369-1,CNY58.00,中国文史出版社,2017,I246.58,,
63079,刑法学,张明楷著,978-7-5118-9683-4,CNY118.00 (全2册),法律出版社,2016,D924.01,,
63078,领导的艺术,张一驰编著,978-7-5044-9224-1,CNY36.80,中国商业出版社,2016,C933.2,,
63077,圣婴,蔡骏著,978-7-5063-8042-3,CNY33.00,作家出版社,2015,I247.7,,
63076,不爱你不行,何建明著,978-7-5063-8297-7,CNY35.00,作家出版社,2016,I267,,
63075,理智与情感,(英) 简·奥斯丁著,978-7-02-012145-8,CNY79.00,人民文学出版社,2017,I561.44,,
63074,我们， 江湖未有期,李尚龙主编,978-7-5063-9187-0,CNY39.80 (含附件),作家出版社,2016,I267,,
63073,只有一个人生,周国平著,978-7-02-010681-3,CNY32.00,人民文学出版社,2009,I267,,
63072,一个下午的延伸,乔叶著,978-7-5063-8611-1,CNY48.00,作家出版社,2016,I247.7,,
63071,句群,孙智正著,978-7-5063-8244-1,CNY29.00,作家出版社,2015,I267.1,,
63070,某《小仓日记》传,(日) 松本清张,978-7-02-012287-5,CNY49.00,人民文学出版社,2017,I313.45,,
63069,我走过最长的路， 是你给我的套路,马叛著,978-7-5104-6012-8,CNY36.80,新世界出版社,2016,I267.1,,
63068,销售心理学,心一编著,978-7-5104-6027-2,CNY32.80,新世界出版社,2016,F713.55,,
63067,泰戈尔儿童诗,泰戈尔著,978-7-5063-8902-0,CNY25.00,作家出版社,2016,I351.82,,
63066,泰戈尔哲理诗,泰戈尔著,978-7-5063-8900-6,CNY25.00,作家出版社,2016,I351.25,,
63065,林中阳台,(法) 朱利安·格拉克著,978-7-5063-7829-1,CNY35.00,作家出版社,2015,I565.45,,
63064,专属天使在身边,程琳著,978-7-5063-7912-0,CNY20.00,作家出版社,2015,I247.57,,
63063,失望是成熟的开始,田梦著,978-7-5639-5309-7,CNY30.00,北京工业大学出版社,2017,K828.5=74,,
63062,不负如来不负卿,朱海兰著,978-7-5639-4610-5,CNY30.00,北京工业大学出版社,2016,I207.227.2,,
63061,我的徒劳是不朽的碑铭,周国平著,978-7-5063-8204-5,CNY28.00,作家出版社,2015,I227.1,,
63060,医道端宗,独家豪著,978-7-5677-6681-5,CNY36.00,吉林大学出版社,2016,R2,,
63059,年轻人， 你应该懂得,乐小陶著,978-7-5190-0806-2,CNY30.00,中国文联出版社,2016,C53,,
63058,史记,(西汉) 司马迁,978-7-5581-1488-5,CNY32.80,吉林出版集团股份有限公司,2016,K204.2,,
63057,思维导图,鸿雁编著,978-7-5472-4050-2,CNY49.00,吉林文史出版社,2017,B804,,
63056,创意瑞典,黄姝妍著,978-7-5474-1883-3,CNY36.80,山东画报出版社,2016,J06,,
63055,快乐的人生,(美) 戴尔·卡耐基著,978-7-5496-1974-0,CNY32.00,文汇出版社,2017,B821-49,,
63054,美好的人生,(美) 戴尔·卡耐基著,978-7-5496-1973-3,CNY32.00,文汇出版社,2017,B821-49,,
63053,葡萄酒战争,(美) 麦克·维塞斯著,978-7-5474-1865-9,CNY42.80,山东画报出版社,2016,F746.82-49,,
63052,中国小说史略,鲁迅著,978-7-5139-1338-6,CNY32.80,民主与建设出版社,2016,I210.91,,
63051,青春咖啡馆,(法) 帕特里克·莫迪亚诺著,978-7-02-011899-1,CNY29.00,人民文学出版社,2017,I565.45,,
63050,谁道人间秋已尽,郑小军编注,978-7-02-012249-3,CNY42.00,人民文学出版社,2017,I207.23,,
63049,故去者之国,(日) 伊藤计划， 圆城塔著,978-7-02-012060-4,CNY48.00,人民文学出版社,2017,I313.45,,
63048,达·芬奇密码,(美) 丹·布朗著,978-7-02-012200-4,CNY38.00,人民文学出版社,2017,I712.45,,
63047,人极,贾平凹,978-7-5321-5064-9,CNY30.00,上海文艺出版社,2013,I247.7,,
63046,十八岁做我的见证,陈蓉蓉著,978-7-5063-8594-7,CNY25.00,作家出版社,2016,I247.57,,
63045,爱你就像爱生命,王小波著,978-7-5063-8407-0,CNY32.00,作家出版社,2017,I267.5,,
63044,每天早上和你一起醒来,蔡要要， 五十块作品,978-7-5063-9340-9,CNY45.00 (含附件),作家出版社,2017,I267,,
63043,昌耀评传,燎原著,978-7-5063-8647-0,CNY49.00,作家出版社,2016,K825.6=76,,
63042,月牙儿,老舍著,978-7-5063-9292-1,CNY25.00,作家出版社,2017,I246.7,,
63041,气清景明， 繁花盛开,林清玄著,978-7-5063-8922-8,CNY28.00,作家出版社,2016,I267,,
63040,艾玛， 对不起,阿曼达·马西埃尔著,978-7-5063-8895-5,CNY32.00,作家出版社,2017,I712.45,,
63039,间谍母亲,刘跃利著,978-7-5034-8455-1,CNY38.00,中国文史出版社,2017,I247.7,,
63038,摩云手,白羽著,978-7-5034-8375-2,CNY48.00,中国文史出版社,2017,I246.58,,
63037,双凤歼仇·剑门侠女,郑证因著,978-7-5034-8609-8,CNY56.00,中国文史出版社,2017,I246.58,,
63036,眷村记忆,张耀升著,978-7-5034-4516-3,CNY28.00,中国文史出版社,2014,I253.7,,
63035,近代侠义英雄传,平江不肖生著,978-7-5034-8353-0,CNY158.00 (3册),中国文史出版社,2017,I246.58,,
63034,宝船,老舍著,978-7-5034-8736-1,CNY32.80,中国文史出版社,2017,I286.7,,
63033,入戏,魏晓东著,978-7-5034-8236-6,CNY39.80,中国文史出版社,2017,I267,,
63032,侠隐传技,白羽著,978-7-5034-8380-6,CNY42.00,中国文史出版社,2017,I246.58,,
63031,前方也在下雨， 何必匆忙赶路,慕榕著,978-7-5639-4718-8,CNY28.00,北京工业大学出版社,2016,I267,,
63030,春风回梦记,刘云若著,978-7-5034-8439-1,CNY48.00,中国文史出版社,2017,I246.47,,
63029,龙凤双侠,郑证因著,978-7-5034-8601-2,CNY58.00,中国文史出版社,2017,I246.58,,
63028,新编办公室主任工作实务全书,张浩编著,978-7-5034-8694-4,CNY49.80,中国文史出版社,2017,C931.4,,
63027,子午鸳鸯钺,白羽著,978-7-5034-8381-3,CNY35.00,中国文史出版社,2017,I246.58,,
63026,回声,成刚著,978-7-5034-8114-7,CNY58.00,中国文史出版社,2017,I247.57,,
63025,边塞双侠,郑证因著,978-7-5034-8607-4,CNY55.00,中国文史出版社,2017,I246.58,,
63024,大漠惊鸿·苗山血泪,郑证因著,978-7-5034-8603-6,CNY46.00,中国文史出版社,2017,I246.58,,
63023,相约有你的日子一醉方休,王凤麟著,978-7-5060-9120-6,CNY36.00,东方出版社,2016,I253.7,,
63022,岁月静好， 心若莲花,遥遥著,978-7-5060-9018-6,CNY38.00,东方出版社,2016,I267,,
63021,推手,(美) 西尔维娅·娜萨著,978-7-02-009712-8,CNY58.00,人民文学出版社,2013,K815.31,,
63020,在你人生打拼时不看后悔的77句狠话,刘鹏著,978-7-5171-0842-9,CNY32.80,中国言实出版社,2015,B848.4,,
63019,基层社会组织创新创业理论与实践研究,张子睿， 李磊著,978-7-5068-5480-1,CNY46.00,中国书籍出版社,2016,C916.1,,
63018,贝母魂,龚成编著,978-7-5108-4859-9,CNY50.00,九州出版社,2017,I253.2,,
63017,三线一体化,孙向阳著,978-7-5108-4397-6,CNY46.00,九州出版社,2016,G623.202,,
63016,为学生思维发展而教,田树林， 李宝辛主编,978-7-5106-4431-3,CNY52.00,现代教育出版社,2016,G63-53,,
63015,礼文化构建特色学校实践,袁怀敏编著,978-7-5681-2437-9,CNY39.00,东北师范大学出版社,2016,G637,,
63014,中国共产党与中华民族伟大复兴,姚选民著,978-7-5108-4457-7,CNY50.00,九州出版社,2016,D25,,
63013,城市灾害与疾病防控,邱泉， 谢军著,978-7-5194-0885-5,CNY60.00,光明日报出版社,2016,R181.8,,
63012,我读故我在,李安安编著,978-7-201-09180-8,CNY33.00,天津人民出版社,2015,G792-53,,
63011,好妈妈正面教育孩子的60个细节,邹玲霞著,978-7-5496-2007-4,CNY35.00,文汇出版社,2017,G78,,
63010,阿德勒论灵魂与情感,(奥地利) 阿尔弗莱德·阿德勒著,978-7-5044-9253-1,CNY38.00,中国商业出版社,2016,B848,,
63009,蒋维乔 宋明理学纲要,,978-7-5581-1904-0,CNY42.80,吉林出版集团股份有限公司,2017,B244.05,,
63008,现在你受的苦， 必将照亮未来的每一步,李世强编著,978-7-5496-1730-2,CNY32.00,文汇出版社,2016,I267.1,,
63007,穿越人海遇见你,梦芝著,978-7-5496-1824-8,CNY32.80,文汇出版社,2016,I247.81,,
63006,不完美的世界里， 我们要学会适可而止,姜士伟编著,978-7-5496-1347-2,CNY32.00,文汇出版社,2016,B821-49,,
63005,少壮派导演报告,宇文翮著,978-7-5474-1847-5,CNY35.80,山东画报出版社,2016,I253.5,,
63004,梦蛇,田原著,978-7-5060-8507-6,CNY39.80,东方出版社,2015,I227.1,,
63003,蔡澜微博妙答,蔡澜著,978-7-5474-1892-5,CNY36.80,山东画报出版社,2016,I267.1,,
63002,把话说到点子上,陈建伟著,978-7-5139-1432-1,CNY38.00,民主与建设出版社,2017,H019-49,,
63001,西奥多·罗斯福传,董泽著,978-7-5463-4762-2,CNY39.80,吉林出版集团有限责任公司,2011,K837.127=51,,
63000,蒋氏家族百年秘档,《环球人物》杂志社编,978-7-5143-5469-0,CNY38.00,现代出版社,2017,K820.9,,
62999,刑法总论,魏磊， 赵山星编著,978-7-5681-1418-9,CNY45.00,东北师范大学出版社,2016,D924.01,,
62998,2016中国年度作品,杨晓敏主编,978-7-5143-5458-4,CNY32.80,现代出版社,2017,I217.61,,
62997,残梦,周俊儒著,978-7-5108-4827-8,CNY88.00,九州出版社,2017,I247.5,,
62996,铁狮旗·野人山,郑证因著,978-7-5034-8605-0,CNY48.00,中国文史出版社,2017,I246.58,,
62995,让未来的你， 感激不抱怨的自己,胡雅萍编著,978-7-5639-4974-8,CNY32.00,北京工业大学出版社,2016,B821-49,,
62994,夜路十年,陈国印著,978-7-5034-8258-8,CNY32.80,中国文史出版社,2017,K826.2=76,,
62993,血涤寒光剑,白羽著,978-7-5034-8373-8,CNY45.00,中国文史出版社,2017,I246.58,,
62992,联镖记,白羽著,978-7-5034-8367-7,CNY65.00,中国文史出版社,2017,I246.58,,
62991,水佩风裳,刘云若著,978-7-5034-8443-8,CNY55.00,中国文史出版社,2017,I246.47,,
62990,金梭吕云娘,郑证因著,978-7-5034-8606-7,CNY53.80,中国文史出版社,2017,I246.58,,
62989,精通Excel数据统计与分析,蒲括， 邵朋编著,978-7-115-33103-8,CNY49.00,人民邮电出版社,2014,C819,,
62988,语言的突破,(美) 戴尔·卡耐基著,978-7-5496-1975-7,CNY32.00,文汇出版社,2017,H019-49,,
62987,道路交通事故纠纷裁判思路与裁判规则,田源， 司伟主编,978-7-5197-0587-9,CNY138.00,法律出版社,2017,D925.184,,
62986,青蛙满足灵魂的想象,赵志明著,978-7-5063-7827-7,CNY28.00,作家出版社,2015,I247.7,,
62985,百万分之一的爱情,白猫 (韩),978-7-5063-8591-6,CNY38.00 (2册),作家出版社,2016,I312.645,,
62984,北洋大战争,陈钦， 梁江涛著,978-7-5063-8709-5,CNY39.80,作家出版社,2016,K258.207,,
62983,拉贝先生,何建明著,978-7-5063-7652-5,CNY38.00,作家出版社,2015,K835.165.3=531,,
62982,国民党人物春秋,《环球人物》杂志社编,978-7-5143-5307-5,CNY35.00,现代出版社,2016,K827=6,,
62981,蒋子龙文集,蒋子龙著,978-7-02-009858-3,CNY77.00,人民文学出版社,2013,I217.62,,
62980,甌北詩話校注,趙翼著,978-7-02-008830-0,CNY42.00,人民文学出版社,2013,I207.227.49,,
62979,朝花夕拾,从维熙著,978-7-04-044077-5,CNY29.80,高等教育出版社,2016,I267,,
62978,罪人,(瑞典) 卡米拉·拉克伯格著,978-7-02-009571-1,CNY28.00,人民文学出版社,2013,I532.45,,
62977,喻世明言,冯梦龙编,978-7-02-005160-1,CNY32.00,人民文学出版社,1958,I242.3,,
62976,杰克·伦敦小说选,(美) 杰克·伦敦著,978-7-02-007112-8,CNY18.00,人民文学出版社,2003,I712.44,,
62975,沈从文散文,,978-7-02-009891-0,CNY30.00,人民文学出版社,2007,I267,,
62974,映象罗平,海男， 何晓坤， 王单单著,978-7-5190-0166-7,CNY196.00 (2册),中国文联出版社,2015,J421,,
62973,儒林外史,吴敬梓著,978-7-02-005162-5,CNY28.00,人民文学出版社,1958,I242.47,,
62972,魔鬼的颤音,(美) 杰拉德·伊莱亚斯著,978-7-02-009177-5,CNY29.00,人民文学出版社,2014,I712.45,,
62971,英雄时代,柳建伟著,978-7-02-009686-2,CNY39.00,人民文学出版社,2013,I247.57,,
62970,沉默博物馆,(日) 小川洋子著,978-7-02-008872-0,CNY22.00,人民文学出版社,2012,I313.45,,
62969,花儿是心上的油,陈元魁著,978-7-02-009958-0,CNY39.00,人民文学出版社,2014,I247.57,,
62968,歇马山庄,孙惠芬著,978-7-02-009447-9,CNY32.00,人民文学出版社,2000,I247.57,,
62967,新星,柯云路著,978-7-02-009383-0,CNY30.00,人民文学出版社,1985,I247.57,,
62966,蛙,莫言著,978-7-02-010803-9,CNY33.00,人民文学出版社,2015,I247.57,,
62965,翡冷翠山居闲话,徐志摩著,978-7-04-044079-9,CNY29.80,高等教育出版社,2016,I266,,
62964,春意挂上了树梢,萧红著,978-7-04-044116-1,CNY29.80,高等教育出版社,2016,I266,,
62963,谢谢你毛毛兔， 这个下午真好玩,幾米,978-7-5110-2067-3,CNY32.00,海豚出版社,2014,J228.2,,
62962,斯家侦探档案,(美) 丽莎·拉兹著,978-7-02-009778-4,CNY29.00,人民文学出版社,2014,I712.45,,
62961,遗失的行李,(西) 霍尔迪·庞蒂著,978-7-02-011410-8,CNY42.00,人民文学出版社,2016,I551.45,,
62960,红与黑,(法) 司汤达著,978-7-02-007102-9,CNY25.00,人民文学出版社,1999,I565.44,,
62959,叹息桥,(美) 理查德·拉索,978-7-02-009155-3,CNY38.00,人民文学出版社,2013,I712.45,,
62958,说话,李长春著,978-7-5034-8539-8,CNY38.00,中国文史出版社,2017,I267,,
62957,敛与狂,王东著,978-7-02-010214-3,CNY36.00,人民文学出版社,2014,K931.39,,
62956,遇到爱用力爱,聂昱冰著,978-7-02-010486-4,CNY33.00,人民文学出版社,2014,I247.5,,
62955,宋美龄的美丽与哀愁,王丰著,978-7-5143-3270-4,CNY42.00,现代出版社,2015,K827=76,,
62954,九曲玄天,白龙著,978-7-106-04402-2,CNY50.00,中国电影出版社,2016,I247.58,,
62953,追赶养蜂人,刘荣书著,978-7-5068-3859-7,CNY30.00,中国书籍出版社,2014,I247.7,,
62952,中国好小说,,978-7-5153-2241-4,CNY29.00,中国青年出版社,2014,I247,,
62951,爱生如子,宋晓文， 杜贵芳主编,978-7-5034-5732-6,CNY78.00,中国文史出版社,2015,G711,,
62950,旷野,柏杨,978-7-02-009699-2,CNY36.00,人民文学出版社,2007,I247.57,,
62949,苏东坡传,,978-7-5502-1707-2,CNY36.00,北京联合出版公司,2013,K825.6=441,,
62948,元曲三百首鉴赏辞典,陈鹏， 闫丽红主编,978-7-5403-3967-8,CNY26.00,崇文书局,2016,I207.24-61,,
62947,成长， 一个不大舒服的过程,宋修竹著,978-7-5008-6262-8,CNY29.00,中国工人出版社,2015,I267.1,,
62946,永夜罪城,远宁， 暗布烧著,978-7-5008-6603-9,CNY35.00,中国工人出版社,2017,I247.56,,
62945,隐形解体的传说,暗布烧著,978-7-5008-6604-6,CNY32.00,中国工人出版社,2017,I247.59,,
62944,淡定,(美) 戴尔·卡耐基著,978-7-201-10121-7,CNY32.80,天津人民出版社,2016,B848.4,,
62943,努力到无能为力， 拼搏到感动自己,陶君豪著,978-7-5459-1174-9,CNY35.00,鹭江出版社,2016,B848.4-49,,
62942,红与黑,(法) 斯当达著,978-7-5117-2458-8,CNY26.00,中央编译出版社,2015,I565.44,,
62941,岛上书店,,978-7-5399-7181-0,CNY35.00,江苏凤凰文艺出版社,2015,I712.45,,
62940,遇见·做一个明媚的女子,吴淡如著,978-7-5125-0745-6,CNY29.80,国际文化出版公司,2015,I267,,
62939,慢…慢…来， 谁不是跋山涉水去相爱,吴淡如著,978-7-5125-0720-3,CNY29.80,国际文化出版公司,2014,C913.1-49,,
62938,为了众生的悲心,李叔同 (弘一) 等著,978-7-5125-0799-9,CNY32.00,国际文化出版公司,2015,B94,,
62937,遇见·亲爱的宝贝,吴淡如著,978-7-5125-0822-4,CNY36.00,国际文化出版公司,2016,G781,,
62936,历史的潜流,程骞著,978-7-5118-8574-6,CNY38.00,法律出版社,2015,K825.19,,
62935,谵妄与规则,宋远升著,978-7-5118-7968-4,CNY28.00,法律出版社,2015,D919.3,,
62934,汤姆叔叔的小屋,(美) 斯托夫人著,978-7-5117-2544-8,CNY28.00,中央编译出版社,2015,I712.44,,
62933,我的忐忑人生,(韩) 金爱烂著,978-7-5321-5189-9,CNY29.80,上海文艺出版社,2014,I312.645,,
62932,即使全世界都背过脸去,蒋念文著,978-7-5190-1919-8,CNY38.00,中国文联出版社,2016,I247.57,,
62931,面朝故乡的阳光,强波著,978-7-5190-1169-7,CNY32.00,中国文联出版社,2016,I227.1,,
62930,女性智慧书,梅寒著,978-7-5470-3174-2,CNY29.80,万卷出版公司,2014,B825.5,,
62929,一腔无声血,丁小炜著,978-7-5321-5821-8,CNY37.00,上海文艺出版社,2015,I253.2,,
62928,异乡人,戴安娜·加瓦尔东著,978-7-5500-1562-3,CNY36.00,百花洲文艺出版社,2016,I712.45,,
62927,网游之翻滚吧， 彪悍妹纸,白羽著,978-7-5496-0754-9,CNY26.80,文汇出版社,2013,I247.57,,
62926,约翰·亚当斯 林肯,刘珍丽编著,978-7-5441-8067-2,CNY59.80,沈阳出版社,2017,K837.127=41,,
62925,你若晴好,莲花清秋著,978-7-5511-0784-6,CNY23.80,花山文艺出版社,2013,I247.57,,
62924,胡雪岩外传,陈蝶仙著,978-7-104-04265-5,CNY28.00,中国戏剧出版社,2015,K825.3=52,,
62923,长阳笔记,谢再红著,978-7-5086-3748-8,CNY40.00,中信出版社,2013,F299.271.3,,
62922,男人来自火星 女人来自金星,(美) 约翰·格雷著,978-7-5158-1271-7,CNY29.80,中华工商联合出版社,2015,C913.1-49,,
62921,夜长梦多,赵兰振著,978-7-5063-8888-7,CNY36.80,作家出版社,2016,I247.57,,
62920,大而化之谓之圣,何新著,978-7-5190-0874-1,CNY55.00,中国文联出版社,2016,B222.25,,
62919,神农在安仁,李琼林主编,978-7-5438-7661-3,CNY65.00,湖南人民出版社,2015,K296.44,,
62918,首无·作祟之物,三津田信三,978-7-5463-5225-1,CNY65.80,吉林出版集团有限责任公司,2011,I313.45,,
62917,苏格拉底的心灵睿语,杨晓霜编著,978-7-5180-1746-1,CNY39.80,中国纺织出版社,2015,B502.231,,
62916,儒林外史,(清) 吴敬梓著,978-7-5410-7795-1,CNY39.80,四川美术出版社,2018,I242.4,,
62915,1937 Nanjing massacre,Xu Zhigeng,978-7-119-08983-6,CNY96.00,外文出版社,2014,K265.606,,
62914,左传,(春秋) 左丘明著,978-7-5568-0175-6,CNY28.00,二十一世纪出版社集团,2014,K225.04,,
62913,一本最危险的书,(美) 克里斯托夫·B. 克里布斯著,978-7-210-07016-0,CNY42.00,江西人民出版社,2015,K126,,
